term,posts,total_views,total_reach,total_engagements,total_likes,total_comments,total_shares,total_saves,avg_engagement_rate_reach,missing_reach_posts
W25,86,770106,313038.0,19578,11232,87,7674,585,0.0462830621443537,9
W26,44,357296,96460.0,5249,2123,42,2878,206,0.03954176445132272,5
